,data,tipo_di_quarantena,totali_tipi_quarantena
279,28/03/2020,asintomatici,4845
280,29/03/2020,asintomatici,4766
281,30/03/2020,asintomatici,4845
282,31/03/2020,asintomatici,4859
283,01/04/2020,asintomatici,4844
284,02/04/2020,asintomatici,4817
285,03/04/2020,asintomatici,4726
286,04/04/2020,asintomatici,4974
287,05/04/2020,asintomatici,4662
288,06/04/2020,asintomatici,4626
289,07/04/2020,asintomatici,4617
290,08/04/2020,asintomatici,4791
291,09/04/2020,asintomatici,4738
292,10/04/2020,asintomatici,4836
293,11/04/2020,asintomatici,4730
294,12/04/2020,asintomatici,4802
295,13/04/2020,asintomatici,4640
296,14/04/2020,asintomatici,4390
297,15/04/2020,asintomatici,4461
298,16/04/2020,asintomatici,4227
299,17/04/2020,asintomatici,4375
300,18/04/2020,asintomatici,4221
301,19/04/2020,asintomatici,4246
302,20/04/2020,asintomatici,4184
303,21/04/2020,asintomatici,4254
304,22/04/2020,asintomatici,4375
305,23/04/2020,asintomatici,4469
306,24/04/2020,asintomatici,4499
307,25/04/2020,asintomatici,4646
308,26/04/2020,asintomatici,4635
309,27/04/2020,asintomatici,4696
310,28/04/2020,asintomatici,4696
311,29/04/2020,asintomatici,4704
312,30/04/2020,asintomatici,4737
313,01/05/2020,asintomatici,4670
314,02/05/2020,asintomatici,4694
315,03/05/2020,asintomatici,4552
316,04/05/2020,asintomatici,4425
317,05/05/2020,asintomatici,4362
318,06/05/2020,asintomatici,4307
319,07/05/2020,asintomatici,4232
320,08/05/2020,asintomatici,4061
321,09/05/2020,asintomatici,3863
322,10/05/2020,asintomatici,3702
323,11/05/2020,asintomatici,3574
324,12/05/2020,asintomatici,3416
325,13/05/2020,asintomatici,3334
326,14/05/2020,asintomatici,3198
327,15/05/2020,asintomatici,3072
328,16/05/2020,asintomatici,2931
329,17/05/2020,asintomatici,2908
330,18/05/2020,asintomatici,2884
331,19/05/2020,asintomatici,2778
332,20/05/2020,asintomatici,2648
333,21/05/2020,asintomatici,2562
334,22/05/2020,asintomatici,2324
335,23/05/2020,asintomatici,2226
336,24/05/2020,asintomatici,2173
337,25/05/2020,asintomatici,2148
338,26/05/2020,asintomatici,2170
339,27/05/2020,asintomatici,2048
340,28/05/2020,asintomatici,1890
341,29/05/2020,asintomatici,1789
342,30/05/2020,asintomatici,1669
343,31/05/2020,asintomatici,1582
344,01/06/2020,asintomatici,1532
345,02/06/2020,asintomatici,1469
346,03/06/2020,asintomatici,1379
347,04/06/2020,asintomatici,1256
348,05/06/2020,asintomatici,1270
349,06/06/2020,asintomatici,1095
350,07/06/2020,asintomatici,1035
351,08/06/2020,asintomatici,971
352,09/06/2020,asintomatici,900
353,10/06/2020,asintomatici,863
354,11/06/2020,asintomatici,805
355,12/06/2020,asintomatici,730
356,13/06/2020,asintomatici,700
357,14/06/2020,asintomatici,666
358,15/06/2020,asintomatici,695
359,16/06/2020,asintomatici,668
360,17/06/2020,asintomatici,629
361,18/06/2020,asintomatici,643
362,19/06/2020,asintomatici,625
363,20/06/2020,asintomatici,592
364,21/06/2020,asintomatici,557
365,22/06/2020,asintomatici,521
366,23/06/2020,asintomatici,558
367,24/06/2020,asintomatici,554
368,25/06/2020,asintomatici,527
369,26/06/2020,asintomatici,481
370,27/06/2020,asintomatici,458
371,28/06/2020,asintomatici,440
372,29/06/2020,asintomatici,416
373,30/06/2020,asintomatici,417
374,01/07/2020,asintomatici,369
375,02/07/2020,asintomatici,400
376,03/07/2020,asintomatici,388
377,04/07/2020,asintomatici,351
378,05/07/2020,asintomatici,335
379,06/07/2020,asintomatici,331
380,07/07/2020,asintomatici,351
381,08/07/2020,asintomatici,381
382,09/07/2020,asintomatici,433
383,10/07/2020,asintomatici,472
384,11/07/2020,asintomatici,478
385,12/07/2020,asintomatici,455
386,13/07/2020,asintomatici,428
387,14/07/2020,asintomatici,459
388,15/07/2020,asintomatici,506
389,16/07/2020,asintomatici,507
390,17/07/2020,asintomatici,490
391,18/07/2020,asintomatici,557
392,19/07/2020,asintomatici,520
393,20/07/2020,asintomatici,454
394,21/07/2020,asintomatici,429
395,22/07/2020,asintomatici,474
396,23/07/2020,asintomatici,495
397,24/07/2020,asintomatici,497
398,25/07/2020,asintomatici,564
399,26/07/2020,asintomatici,595
400,27/07/2020,asintomatici,632
401,28/07/2020,asintomatici,799
402,29/07/2020,asintomatici,846
403,30/07/2020,asintomatici,894
404,31/07/2020,asintomatici,932
405,01/08/2020,asintomatici,948
406,02/08/2020,asintomatici,954
407,03/08/2020,asintomatici,900
408,04/08/2020,asintomatici,1012
409,05/08/2020,asintomatici,1012
410,06/08/2020,asintomatici,1106
411,07/08/2020,asintomatici,1187
412,08/08/2020,asintomatici,1187
413,09/08/2020,asintomatici,1226
414,10/08/2020,asintomatici,1177
415,11/08/2020,asintomatici,1239
416,12/08/2020,asintomatici,1214
417,13/08/2020,asintomatici,1244
418,14/08/2020,asintomatici,1267
419,15/08/2020,asintomatici,1214
420,16/08/2020,asintomatici,1107
421,17/08/2020,asintomatici,1085
422,18/08/2020,asintomatici,1105
423,19/08/2020,asintomatici,1202
424,20/08/2020,asintomatici,1353
425,21/08/2020,asintomatici,1439
426,22/08/2020,asintomatici,1380
427,23/08/2020,asintomatici,1415
428,24/08/2020,asintomatici,1360
429,25/08/2020,asintomatici,1526
430,26/08/2020,asintomatici,1619
431,27/08/2020,asintomatici,1663
432,28/08/2020,asintomatici,1826
433,29/08/2020,asintomatici,1816
434,30/08/2020,asintomatici,1790
435,31/08/2020,asintomatici,1728
436,01/09/2020,asintomatici,1700
437,02/09/2020,asintomatici,1833
438,03/09/2020,asintomatici,1893
439,04/09/2020,asintomatici,1977
440,05/09/2020,asintomatici,1914
441,06/09/2020,asintomatici,1790
442,07/09/2020,asintomatici,1735
443,08/09/2020,asintomatici,1831
444,09/09/2020,asintomatici,1804
445,10/09/2020,asintomatici,1802
446,11/09/2020,asintomatici,1802
447,12/09/2020,asintomatici,1938
448,13/09/2020,asintomatici,1850
449,14/09/2020,asintomatici,1691
450,15/09/2020,asintomatici,1768
451,16/09/2020,asintomatici,2000
452,17/09/2020,asintomatici,2057
453,18/09/2020,asintomatici,1967
454,19/09/2020,asintomatici,2045
455,20/09/2020,asintomatici,1848
456,21/09/2020,asintomatici,1754
457,22/09/2020,asintomatici,2104
458,23/09/2020,asintomatici,2213
459,24/09/2020,asintomatici,2236
460,25/09/2020,asintomatici,2194
461,26/09/2020,asintomatici,2215
462,27/09/2020,asintomatici,2155
463,28/09/2020,asintomatici,2024
464,29/09/2020,asintomatici,2090
465,30/09/2020,asintomatici,2132
466,01/10/2020,asintomatici,2115
467,02/10/2020,asintomatici,2212
468,03/10/2020,asintomatici,2159
469,04/10/2020,asintomatici,2228
470,05/10/2020,asintomatici,2443
471,06/10/2020,asintomatici,2813
472,07/10/2020,asintomatici,3096
473,08/10/2020,asintomatici,3192
474,09/10/2020,asintomatici,3410
475,10/10/2020,asintomatici,3412
476,11/10/2020,asintomatici,3450
477,12/10/2020,asintomatici,3771
478,13/10/2020,asintomatici,4344
479,14/10/2020,asintomatici,4716
480,15/10/2020,asintomatici,5093
481,16/10/2020,asintomatici,5050
482,17/10/2020,asintomatici,5391
483,18/10/2020,asintomatici,5515
484,19/10/2020,asintomatici,5604
485,20/10/2020,asintomatici,5863
486,21/10/2020,asintomatici,6149
487,22/10/2020,asintomatici,6290
488,23/10/2020,asintomatici,6499
489,24/10/2020,asintomatici,6290
490,25/10/2020,asintomatici,6084
491,26/10/2020,asintomatici,6591
492,27/10/2020,asintomatici,7099
493,28/10/2020,asintomatici,7506
