;data;tipo_di_ricovero;totali_tipi_ricovero
328;16/05/2020;semi-intensiva;47
329;17/05/2020;semi-intensiva;46
330;18/05/2020;semi-intensiva;49
331;19/05/2020;semi-intensiva;29
332;20/05/2020;semi-intensiva;22
333;21/05/2020;semi-intensiva;16
334;22/05/2020;semi-intensiva;12
335;23/05/2020;semi-intensiva;14
336;24/05/2020;semi-intensiva;16
337;25/05/2020;semi-intensiva;11
338;26/05/2020;semi-intensiva;12
339;27/05/2020;semi-intensiva;14
340;28/05/2020;semi-intensiva;11
341;29/05/2020;semi-intensiva;10
342;30/05/2020;semi-intensiva;10
343;31/05/2020;semi-intensiva;8
344;01/06/2020;semi-intensiva;9
345;02/06/2020;semi-intensiva;10
346;03/06/2020;semi-intensiva;8
347;04/06/2020;semi-intensiva;7
348;05/06/2020;semi-intensiva;6
349;06/06/2020;semi-intensiva;5
350;07/06/2020;semi-intensiva;1
351;08/06/2020;semi-intensiva;1
352;09/06/2020;semi-intensiva;1
353;10/06/2020;semi-intensiva;1
354;11/06/2020;semi-intensiva;1
355;12/06/2020;semi-intensiva;1
356;13/06/2020;semi-intensiva;1
357;14/06/2020;semi-intensiva;1
358;15/06/2020;semi-intensiva;1
359;16/06/2020;semi-intensiva;1
360;17/06/2020;semi-intensiva;1
361;18/06/2020;semi-intensiva;2
362;19/06/2020;semi-intensiva;2
363;20/06/2020;semi-intensiva;2
364;21/06/2020;semi-intensiva;2
365;22/06/2020;semi-intensiva;2
366;23/06/2020;semi-intensiva;2
367;24/06/2020;semi-intensiva;2
368;25/06/2020;semi-intensiva;2
369;26/06/2020;semi-intensiva;2
370;27/06/2020;semi-intensiva;2
371;28/06/2020;semi-intensiva;1
372;29/06/2020;semi-intensiva;1
373;30/06/2020;semi-intensiva;0
374;01/07/2020;semi-intensiva;0
375;02/07/2020;semi-intensiva;0
376;03/07/2020;semi-intensiva;0
377;04/07/2020;semi-intensiva;0
378;05/07/2020;semi-intensiva;0
379;06/07/2020;semi-intensiva;0
380;07/07/2020;semi-intensiva;0
381;08/07/2020;semi-intensiva;0
382;09/07/2020;semi-intensiva;0
383;10/07/2020;semi-intensiva;0
384;11/07/2020;semi-intensiva;0
385;12/07/2020;semi-intensiva;0
386;13/07/2020;semi-intensiva;0
387;14/07/2020;semi-intensiva;0
388;15/07/2020;semi-intensiva;0
389;16/07/2020;semi-intensiva;0
390;17/07/2020;semi-intensiva;0
391;18/07/2020;semi-intensiva;0
392;19/07/2020;semi-intensiva;0
393;20/07/2020;semi-intensiva;0
394;21/07/2020;semi-intensiva;0
395;22/07/2020;semi-intensiva;0
396;23/07/2020;semi-intensiva;0
397;24/07/2020;semi-intensiva;0
398;25/07/2020;semi-intensiva;0
399;26/07/2020;semi-intensiva;0
400;27/07/2020;semi-intensiva;0
401;28/07/2020;semi-intensiva;0
402;29/07/2020;semi-intensiva;0
403;30/07/2020;semi-intensiva;0
404;31/07/2020;semi-intensiva;0
405;01/08/2020;semi-intensiva;0
406;02/08/2020;semi-intensiva;0
407;03/08/2020;semi-intensiva;0
408;04/08/2020;semi-intensiva;0
409;05/08/2020;semi-intensiva;0
410;06/08/2020;semi-intensiva;0
411;07/08/2020;semi-intensiva;0
412;08/08/2020;semi-intensiva;0
413;09/08/2020;semi-intensiva;0
414;10/08/2020;semi-intensiva;0
415;11/08/2020;semi-intensiva;0
416;12/08/2020;semi-intensiva;0
417;13/08/2020;semi-intensiva;0
418;14/08/2020;semi-intensiva;0
419;15/08/2020;semi-intensiva;0
420;16/08/2020;semi-intensiva;0
421;17/08/2020;semi-intensiva;0
422;18/08/2020;semi-intensiva;0
423;19/08/2020;semi-intensiva;0
424;20/08/2020;semi-intensiva;0
425;21/08/2020;semi-intensiva;0
426;22/08/2020;semi-intensiva;0
427;23/08/2020;semi-intensiva;0
428;24/08/2020;semi-intensiva;0
429;25/08/2020;semi-intensiva;0
430;26/08/2020;semi-intensiva;0
431;27/08/2020;semi-intensiva;0
432;28/08/2020;semi-intensiva;0
433;29/08/2020;semi-intensiva;0
434;30/08/2020;semi-intensiva;0
435;31/08/2020;semi-intensiva;0
436;01/09/2020;semi-intensiva;0
437;02/09/2020;semi-intensiva;0
438;03/09/2020;semi-intensiva;0
439;04/09/2020;semi-intensiva;0
440;05/09/2020;semi-intensiva;0
441;06/09/2020;semi-intensiva;0
442;07/09/2020;semi-intensiva;0
443;08/09/2020;semi-intensiva;0
444;09/09/2020;semi-intensiva;0
445;10/09/2020;semi-intensiva;0
446;11/09/2020;semi-intensiva;0
447;12/09/2020;semi-intensiva;0
448;13/09/2020;semi-intensiva;0
449;14/09/2020;semi-intensiva;0
450;15/09/2020;semi-intensiva;0
